retrieves 	What is JavaScript? - Learn web development | MDN	https://developer.mozilla.org/en-US/docs/Learn/JavaScript/First_steps/What_is_JavaScript	2019-08-01T13:36:21-05:00
The Geolocation API retrieves geographical information. This is how Google Maps is able to find your location and plot it on a map.  	What is JavaScript? - Learn web development | MDN	https://developer.mozilla.org/en-US/docs/Learn/JavaScript/First_steps/What_is_JavaScript	2019-08-01T13:36:22-05:00
chitin 	Chitin: The Reason Mushrooms are So Meaty - PlenteousVeg	https://plenteousveg.com/chitin/	2019-08-06T07:44:33-05:00
But did you ever wonder why mushrooms have such a meaty texture? It turns out that the texture is from a substance called chitin – the same substance which is found in the shells of crustaceans and insects! 	Chitin: The Reason Mushrooms are So Meaty - PlenteousVeg	https://plenteousveg.com/chitin/	2019-08-06T07:45:05-05:00
hyphae 	What is a mushroom made of? | Mushroom	https://www.mushroomthejournal.com/what-is-a-mushroom-made-of/	2019-08-06T07:48:38-05:00
The main body of a fungus is composed of a mass of what look like fine threads or roots, called hyphae. 	What is a mushroom made of? | Mushroom	https://www.mushroomthejournal.com/what-is-a-mushroom-made-of/	2019-08-06T07:48:42-05:00
memo 	Memo | Definition of Memo by Merriam-Webster	https://www.merriam-webster.com/dictionary/memo#examples	2019-08-06T15:45:20-05:00
 He sent a memo to the staff.  	Memo | Definition of Memo by Merriam-Webster	https://www.merriam-webster.com/dictionary/memo#examples	2019-08-06T15:45:23-05:00
seams 	All the best engineering advice I stole from non-technical people	https://medium.com/@bellmar/all-the-best-engineering-advice-i-stole-from-non-technical-people-eb7f90ca2f5f	2019-08-06T16:36:18-05:00
People like us make our money in the seams of things 	All the best engineering advice I stole from non-technical people	https://medium.com/@bellmar/all-the-best-engineering-advice-i-stole-from-non-technical-people-eb7f90ca2f5f	2019-08-06T16:36:23-05:00
defuse 	All the best engineering advice I stole from non-technical people	https://medium.com/@bellmar/all-the-best-engineering-advice-i-stole-from-non-technical-people-eb7f90ca2f5f	2019-08-06T16:38:20-05:00
mandate 	All the best engineering advice I stole from non-technical people	https://medium.com/@bellmar/all-the-best-engineering-advice-i-stole-from-non-technical-people-eb7f90ca2f5f	2019-08-06T16:40:16-05:00
So if your mandate is security or availability the seams are your best bet of finding a big pay off. 	All the best engineering advice I stole from non-technical people	https://medium.com/@bellmar/all-the-best-engineering-advice-i-stole-from-non-technical-people-eb7f90ca2f5f	2019-08-06T16:40:20-05:00
Approaching problems this way also changed the way my team behaved for the better. Often the hardest part of working as a team is giving people permission to bring up ideas that are ultimately ruled out. People tend to self-censor to avoid looking or sounding wrong, because they assume everyone else is keepIng score. When we allow this on a team it creates blindspots. Fortunately, humans are very bad with probabilities. Very bad. I became comfortable with being wrong 95% of the time because I understood that when I found that one critical problem all the ideas I had before that had been ruled out would be forgotten. I found a few problems much more experienced engineers had missed and it gave me super powers in the eyes of my colleagues.  	All the best engineering advice I stole from non-technical people	https://medium.com/@bellmar/all-the-best-engineering-advice-i-stole-from-non-technical-people-eb7f90ca2f5f	2019-08-06T16:43:39-05:00
When I find myself itching to interrupt someone with my thoughts about a topic I try to ask myself “what am I being asked to be an expert in here?” Often I realize that in my enthusiasm to show my casual knowledge I’m about to correct someone that who has devoted a considerable amount of time and effort into developing their expertise in the topic. I never regret keeping my mouth shut and letting them speak.  	All the best engineering advice I stole from non-technical people	https://medium.com/@bellmar/all-the-best-engineering-advice-i-stole-from-non-technical-people-eb7f90ca2f5f	2019-08-06T16:46:41-05:00
malaise 	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T16:58:07-05:00
This is true of any to-do list that gets worked off too slowly. A malaise creeps into it.  	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T16:58:20-05:00
quagmire 	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T17:01:11-05:00
When you’re thinking about giving work to someone slow, you run through the likely quagmire in your head; you visualize days of halting progress. 	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T17:01:18-05:00
moss 	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T17:03:02-05:00
Unresponsive systems are sad. They’re like buildings grown over with moss. 	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T17:03:08-05:00
expenditure 	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T17:04:24-05:00
Part of the activation energy required to start any task comes from the picture you get in your head when you imagine doing it. It may not be that going for a run is actually costly; but if it feels costly, if the picture in your head looks like a slog, then you will need a bigger expenditure of will to lace up. 	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T17:04:28-05:00
bail 	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T17:04:43-05:00
Whenever we think of doing the task again, we see how expensive it is, and bail.   	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T17:04:46-05:00
languished 	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T17:05:47-05:00
At work, I have a history of painful languished projects, and I usually have the most overdue assignments of anyone on the team. 	Speed matters: Why working quickly is more important than it seems « the jsomers.net blog	http://jsomers.net/blog/speed-matters	2019-08-06T17:05:57-05:00
As some of my friends snickered and laughed in the distance, Dad opened the door to our car and Melinda slid into the front passenger seat with a smile.  	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T20:46:59-05:00
snickered 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T20:47:01-05:00
cardigan 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T20:47:45-05:00
She seemed awkward in her school uniform and cardigan sweater. 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T20:47:51-05:00
trepidation 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T20:59:17-05:00
Young, immature and wanting to fit in, I joked about Melinda just like my friends did. Funny that I had forgotten what it was like to be the new kid at school. The feelings of trepidation and aloneness. 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T20:59:22-05:00
staccato 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T20:59:43-05:00
In her own staccato way, she chatted freely about her favorite things, TV shows, and pets. 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T20:59:53-05:00
mortified 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:00:24-05:00
I was mortified. It was bad enough that I had to be seen taking her home, but now I had to walk to her house with her!  	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:00:26-05:00
Begrudgingly 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:01:06-05:00
Begrudgingly, I got out of the car, opened the door for Melinda, and walked to her front door. 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:01:12-05:00
stripped 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:01:47-05:00
I don’t think I’ll ever forget that moment. How it stripped away my selfish pride and made me see her sweetness. 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:01:55-05:00
mow 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:03:41-05:00
Forrest Gump was unapologetically who he was. No pretension. No posturing. No ego. He loved to mow his own grass. Even when he became successful, he still mowed his own lawn.  	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:03:43-05:00
doublespeak 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:04:48-05:00
Forrest Gump was always honest, whether people liked it or not. What you saw is what you got. No deception. No doublespeak. What a rare thing in this day and age.  	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:04:48-05:00
spandex 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:05:04-05:00
No honey, your bottom doesn’t look too big in that spandex outfit. 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:05:07-05:00
Grace 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:05:52-05:00
Grace in others has a way of doing that. It stays with you through the years.  	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:05:59-05:00
drudgery 	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:06:48-05:00
Because, as the poem so eloquently states: “With all its sham, drudgery and broken dreams, it is still a beautiful world.”  	I Think This Is What Life Should Be About - Personal Growth - Medium	https://medium.com/personal-growth/i-think-this-is-what-life-should-be-about-e9a064b4963a	2019-08-06T21:06:50-05:00
offence 	SuperMemo.com	https://www.supermemo.com/en/archives1990-2015/articles/20rules	2019-08-06T21:50:48-05:00
till, an amazing proportion of students commit the offence of learning without comprehension. 	SuperMemo.com	https://www.supermemo.com/en/archives1990-2015/articles/20rules	2019-08-06T21:50:53-05:00
deplorable 	SuperMemo.com	https://www.supermemo.com/en/archives1990-2015/articles/20rules	2019-08-06T21:51:05-05:00
The quality of many textbooks or lecture scripts is deplorable while examination deadlines are unmovable. 	SuperMemo.com	https://www.supermemo.com/en/archives1990-2015/articles/20rules	2019-08-06T21:51:08-05:00
designate 	dave yarwood · Taskwarrior, where have you been all my life?	https://blog.djy.io/taskwarrior-where-have-you-been-all-my-life/	2019-08-08T07:58:49-05:00
Watch what happens to my task when I designate it as part of the “home” project:   	dave yarwood · Taskwarrior, where have you been all my life?	https://blog.djy.io/taskwarrior-where-have-you-been-all-my-life/	2019-08-08T07:58:50-05:00
grueling 	The Essentialist’s Dashboard - Jordan Husney - Medium	https://medium.com/@jrhusney/the-essentialists-dashboard-84715bcf2585	2019-08-08T08:15:02-05:00
exhilarating 	The Essentialist’s Dashboard - Jordan Husney - Medium	https://medium.com/@jrhusney/the-essentialists-dashboard-84715bcf2585	2019-08-08T08:15:03-05:00
It’s a grueling, exhilarating pace. 	The Essentialist’s Dashboard - Jordan Husney - Medium	https://medium.com/@jrhusney/the-essentialists-dashboard-84715bcf2585	2019-08-08T08:15:05-05:00
granular 	The Essentialist’s Dashboard - Jordan Husney - Medium	https://medium.com/@jrhusney/the-essentialists-dashboard-84715bcf2585	2019-08-08T08:15:46-05:00
Personally I’ve found them to be too cumbersome and granular for me to use regularly. 	The Essentialist’s Dashboard - Jordan Husney - Medium	https://medium.com/@jrhusney/the-essentialists-dashboard-84715bcf2585	2019-08-08T08:15:49-05:00
pixelated 	The Essentialist’s Dashboard - Jordan Husney - Medium	https://medium.com/@jrhusney/the-essentialists-dashboard-84715bcf2585	2019-08-08T08:16:23-05:00
confidentiality 	The Essentialist’s Dashboard - Jordan Husney - Medium	https://medium.com/@jrhusney/the-essentialists-dashboard-84715bcf2585	2019-08-08T08:16:26-05:00
Sensitive text has been pixelated to protect confidentiality. 	The Essentialist’s Dashboard - Jordan Husney - Medium	https://medium.com/@jrhusney/the-essentialists-dashboard-84715bcf2585	2019-08-08T08:16:27-05:00
groking 	Towards a Vim-like Emacs	https://nathantypanski.com/blog/2014-08-03-a-vim-like-emacs-config.html	2019-08-08T09:39:58-05:00
It is also Elisp-focused, with no emphasis on the more modern customization features of Emacs that ultimately prevent new users from groking its internals.   	Towards a Vim-like Emacs	https://nathantypanski.com/blog/2014-08-03-a-vim-like-emacs-config.html	2019-08-08T09:40:01-05:00
warts 	Switching to Emacs: Becoming Evil	https://nathantypanski.com/blog/2014-07-02-switching-to-emacs.html	2019-08-08T09:44:59-05:00
But Vim has warts. Big, ugly warts.   	Switching to Emacs: Becoming Evil	https://nathantypanski.com/blog/2014-07-02-switching-to-emacs.html	2019-08-08T09:45:01-05:00
nasal 	Undefined behavior - Wikipedia	https://en.wikipedia.org/wiki/Undefined_behavior	2019-08-08T09:45:59-05:00
In the C community, undefined behavior may be humorously referred to as "nasal demons" 	Undefined behavior - Wikipedia	https://en.wikipedia.org/wiki/Undefined_behavior	2019-08-08T09:46:06-05:00
